	Total_Mass(ug)	ShootsMass%	RootsMass%	SoilMass%	RhizosphereMass%	Shoots_Concentration(ug/kg)	Roots_Concentration(ug/kg)	Soil_Concentration(ug/kg)	Rhizosphere_Concentration(ug/kg)	Total_Mass	Recovery%	RCFrhizo	RCFbulk	TF	Harvest_date	name
A4	28.767225074525985		0.04017294138161831	5.959577393166718	0.04136129110803886		20.34619800406253	1.3498508288384408	0.9131616045110853	28.767225074525985	6.0411116256563755	22.281048506147016	15.072923295954578		Day25	Sulfamethoxazole
A5	26.95130332267178		0.06266245019801452	3.3705436593011777	0.042225641165759185		23.819953487002852	0.7176021970639954	0.733743432013328	26.95130332267178	3.4754317506649515	32.46360028278955	33.19381348672014		Day25	Sulfamethoxazole
A6	29.138549475046855	0.0032093264015484054	0.031638552854732556	3.9679809075278674	0.028146881450237037	6.976796525105216	22.485403357963637	0.9112283405449193	0.686325772138921	29.138549475046855	4.030975668234385	32.761997684989026	24.67592628266725	0.3102811372353812	Day25	Sulfamethoxazole
A7	28.882869265237815		0.009942120477288603	2.598505259460471	0.0961912401818704		7.2362055599713475	0.6280336408959488	2.014020248622325	30.568995237289787	2.7046386201196304	3.5929159922405045	11.522003104241714		Day27	Sulfamethoxazole
A8	33.989223341888625		0.0175214234927711	7.917803137764182	0.10277404151385194		15.086500436672655	2.2560738677151457	3.5634243239779577	36.16332991447142	8.038098602770805	4.233708664768596	6.687059609422989		Day27	Sulfamethoxazole
A9	28.352956333365334	0.0036067144432548573	0.004833237793105621	3.6505547982019606	0.08292556136429756	4.565461320575763	4.390473667167123	0.8598581392132457	4.199077277970012	29.976930003979408	3.7419203118026187	1.0455805827154576	5.106044203040661	1.0398562129451394	Day27	Sulfamethoxazole
A13	30.924556089696548		0.019902474232319087	3.851680728048076	0.07715135277830296		11.789376588458103	1.0548014673436996	3.959425861848007	34.94908274216009	3.948734555058698	2.977546997926506	11.176867831012048		Day31	Sulfamethoxazole
A14	29.907215005720058		0.011045883531052769	6.779148549057028	0.08232350251188972		7.8053519385321914	1.801645163627263	5.652364475201845	33.91823677990904	6.87251793509997	1.3809003245944191	4.332346954945129		Day31	Sulfamethoxazole
A15	30.191557390137046	0.0014239738161147904	0.013292702649953999	7.190197951497414	0.10120254257029952	3.311567014220445	14.085587839893238	1.9728791680661752	6.9800589516852485	34.968389119731455	7.306117170533782	2.017975483787633	7.139610001407229	0.23510321698050943	Day31	Sulfamethoxazole
A10	30.89213818246783		0.01997576735537833	5.931549091367061	0.10263368558172888		11.691247902499338	1.8214029333702146	6.298269896193772	35.40747728659453	6.054158544304168	1.8562634017263535	6.418814688557987		Day35	Sulfamethoxazole
A11	32.26707930121501		0.02173206851476504	5.240774472078104	0.07391075039591302		10.317446299076607	1.7555437008937098	5.794617454825068	37.849307705201944	5.3364172909887815	1.7805224209383255	5.877066058694076		Day35	Sulfamethoxazole
A12	27.12902267485211		0.015344178926934222	6.009517620111457	0.1135897981650868		8.295995368326023	1.6844157298190847	6.040676662821991	31.635257722545735	6.1384515972034785	1.3733553095772597	4.92514717208029		Day35	Sulfamethoxazole
A4	23.570290959430228	0.003429565474868606	0.24838632118045123	78.89826575567159	1.0029185428848744	6.859130949737212	103.07284965784714	14.642146338828802	18.142042873679426	23.570290959430228	80.15300018521178	5.6814356781939805	7.039463154695649	0.0665464375197374	Day25	Trimethoprim
A5	22.84497681590418	0.006934502923976604	0.24523944425861885	66.23125254133892	0.9412238303020899	9.005847953216374	79.01959687494173	11.952471611239384	13.863466526001142	22.84497681590418	67.42465031882361	5.6998440272307995	6.611151186557637	0.113969803812961	Day25	Trimethoprim
A6	24.410254186292978	0.0017659042120068134	0.1646675341329795	70.04613449649841	0.7449639659988236	3.8389222000148044	98.03844791258788	13.475540432886403	15.217372192184271	24.410254186292978	70.95753190084221	6.4425346685639315	7.275288764918831	0.039157313092488245	Day25	Trimethoprim
A7	23.345330178837717		0.20356572645683252	71.847505428745	0.9239796563417145		116.49792097853853	13.653771890738716	15.211511128694303	24.036033797350424	72.97505081154354	7.658537011407246	8.532288506852709		Day27	Trimethoprim
A8	27.408706567161015	0.0018730624028425477	0.19185474391585966	81.46014329656984	0.648554181846472	3.602043082389518	129.2703846655852	18.163567869729007	17.596963969112196	28.299306262323597	82.30242528473502	7.3461754477927235	7.117014982558812	0.02786441064368911	Day27	Trimethoprim
A9	23.400998577334317	0.004366081871345034	0.24897461700025994	62.63627600363726	0.3242999541825609	5.526685913094974	181.5722250191121	11.844452545874347	13.183583161164593	24.06624216485669	63.21391665669143	13.772600574476341	15.329727086656886	0.030437947833228576	Day27	Trimethoprim
A13	25.16930133405159	0.003696394995928637	0.31011206712003053	73.57856118096143	0.2409659488885911	6.05966392775187	141.85638902873336	15.560308394431617	9.549723797383038	26.98871743502909	74.13333559196597	14.854501767643482	9.116553826111687	0.042716891140690674	Day31	Trimethoprim
A14	24.86785857428715	0.002873417721518985	0.32521389611773033	94.7087469651941	0.3479491498569017	3.0246502331778813	180.8263877235181	19.80545766327757	18.798481984556098	26.689101278706612	95.38478342889024	9.619201586174677	9.13012921982604	0.01672681886342022	Day31	Trimethoprim
A15	25.08148666954617	0.004744673921089642	0.2844967089181374	90.0997559283414	0.35663183508895635	11.034125397882894	234.99282131602988	19.27076328972063	19.173590047914193	27.257830619265214	90.74562914626958	12.256067889674823	12.194266401548258	0.04695515946439768	Day31	Trimethoprim
A10	24.843318503920138	0.01266694796061885	0.44618395336390493	84.4538897079755	0.38233876860099836	9.52402102302169	190.2425835803919	18.892696560943005	17.092912508974752	26.88785209275417	85.29507937790103	11.129910334502895	10.069636325694324	0.05006250884412043	Day35	Trimethoprim
A11	26.034619014244672	0.020099252350285	0.7971802675042647	85.90854197665024	0.3068882856364032	13.580575912354725	272.191456433779	20.69661495253912	17.30391079461368	28.576905996784838	87.0327097821412	15.730054301857942	13.1514963706848	0.04989346870135404	Day35	Trimethoprim
A12	22.40411602766053	0.004447375823525064	0.4886821736839213	99.23224605752318	0.3524607581506715	5.171367236657044	194.34468870615873	20.458973008736038	13.787272700631531	24.46115079245282	100.0778363651813	14.095948700373258	9.499239703927124	0.02660925426408715	Day35	Trimethoprim
A4	25.638992542851373	0.004888993947853233	0.0277703552626381	12.334714981993283	0.17407458551126612	9.777987895706465	12.535280483998433	2.4900176009316253	3.42524712189048	25.638992542851373	12.541448916715039	3.659671853714279	5.034213605280715	0.7800374238285522	Day25	Lincomycin
A5	24.64555279125926	0.005159971033742684	0.019535647752890163	8.751280580955767	0.1646659589309554	6.70126108278271	6.790787560018329	1.7037826947765393	2.616559370571367	24.64555279125926	8.940642158673354	2.5953118573936482	3.985712251238107	0.9868164809391596	Day25	Lincomycin
A6	26.40760555720187		0.013198280606078116	8.845947481679845	0.10063933129677555		8.500853372648244	1.8410394599513307	2.2239696773437743	26.40760555720187	8.959785093582699	3.8223782721720125	4.617420515730267		Day25	Lincomycin
A7	25.485570702306177	0.002968966332354038	0.004679414403237329	8.87646966310321	0.1601566816443581	4.712644971990531	2.9655529655529653	1.8680215590882552	2.9198172773160342	26.61726742283301	9.04427472548316	1.0156638871179544	1.5875367985583602	1.5891285796380297	Day27	Lincomycin
A8	29.908884496944268	0.0031724805547113295	0.013622899114763092	8.95455273094131	0.1724370247724838	6.1009241436756385	10.17439350772684	2.2131578010918758	5.186023650198664	31.368104815621585	9.143785135383268	1.9618872172588497	4.5972291278585	0.599635166365676	Day27	Lincomycin
A9	25.39860157677518		0.0018785048212269855	7.4341485976898865	0.08506309809641291		1.5078463796412513	1.5472865197823755	3.8060826326861092	26.488582816444513	7.521090200607526	0.3961675363251643	0.974510124894857		Day27	Lincomycin
A13	27.425996412359403	0.0024535770701306085				4.022257492017395	4.121092582631044	1.693459109019803	3.29830195162527		0.0024535770701306085	1.2494588558213524	2.433535336448949	0.9760172603182456	Day31	Lincomycin
A14	26.938527537681537						3.7491947748358005	1.5967928060249075	4.565402817790974		0.0	0.8212188331389987	2.3479531976156203		Day31	Lincomycin
A15	27.181797295656462	0.0031074190389356				7.2265559045014	2.3180523180523185	2.372704126423257	5.83485452044307		0.0031074190389356	0.39727679755009504	0.9769664461058094	3.117511994109486	Day31	Lincomycin
A10	27.159388589701855						3.4403867737201073	2.170924950268863	4.983851712368886		0.0	0.6903068093261645	1.5847561995609405		Day35	Lincomycin
A11	28.423684099184594	0.009917866402518414				6.70126108278271	6.684531043505402	2.4618623670496174	4.666488786705863		0.009917866402518414	1.4324541103685158	2.7152334480486737	1.0025027992492552	Day35	Lincomycin
A12	24.315677649858543						3.842169226784612	1.9832233910554735	4.3773358988795525		0.0	0.8777414654808819	1.9373355740524045		Day35	Lincomycin
A4	20.179364851745163	0.0005100633518491277	0.07513949274382609			1.0201267036982553	26.69484575444936			20.179364851745163	0.07564955609567521			0.03821436966078839	Day25	Oxytetracycline
A5	18.987107913690764		0.04231044519452954				11.330789686668979			18.987107913690764	0.04231044519452954				Day25	Oxytetracycline
A6	20.578246034108904		0.03173629310895037	0.46071012553441			15.928713361135983	0.0747181015380249		20.578246034108904	0.49244641864336036		213.1841285211145		Day25	Oxytetracycline
A7	20.233985187178906	0.0066514241909677255	0.026969050215607256		0.06601651666976038	10.557816176139234	13.820659465941754		0.9732225300092334	21.52347572231636	0.09963699107633536	14.200924289957232		0.7639155137391856	Day27	Oxytetracycline
A8	23.731567724372916	0.0005876325979012122	0.026927356111072456	0.492361417535741	0.023799764466062235	1.130062688271563	16.280951958419713	0.09851437054502189	0.5794603467733661	25.394248861010574	0.5436761707107769	28.096749068469716	165.2647412590347	0.06941011134715312	Day27	Oxytetracycline
A9	19.962470545434943		0.02855146341418708	0.8218937458267703	0.047135534254491365		18.34598434554875	0.13693770398751243	1.6883143531342972	21.20442916079321	0.8975807434954488	10.866450499274654	133.97321417935962		Day27	Oxytetracycline
A13	21.71556614568379	0.002721103796901684				4.4608258965601415	18.33791781278653	0.37642859481939944	2.6362983482097055		0.002721103796901684	6.955934189026708	48.71552816433773	0.24325694673196374	Day31	Oxytetracycline
A14	21.006248708122097						30.40545082507186		4.926233712937314		0.0	6.172149475007818			Day31	Oxytetracycline
A15	21.25216696621954						15.194658879773707	0.13781096156575087	3.6745665332922948		0.0	4.13508878995852	110.25725898098604		Day31	Oxytetracycline
A10	21.625195648898792						35.863804660842625		3.535036421463014		0.0	10.145243325668478			Day35	Oxytetracycline
A11	22.57859311126663						41.34904693915414		3.7894736842105265		0.0	10.911554053387897			Day35	Oxytetracycline
A12	19.10866748752451						27.716606570997584		5.989124858930953		0.0	4.627822465525446			Day35	Oxytetracycline
A4	14.049452056913665		0.0495334152470172	14.377942772822472	0.15749602472027197		12.252065893101477	1.5904809787162728	1.698183306570952	14.049452056913665	14.584972212789761	7.2148076392538565	7.703371531667424		Day25	Monensin Sodium
A5	13.337228578666961	0.007140038635405323		16.788345038836315	0.1337744069302182	9.272777448578346		1.7687950393832748	1.1503416139290326	13.337228578666961	16.92925948440194				Day25	Monensin Sodium
A6	14.42055493082836	0.004325405930912954		10.891936369325332	0.1678594593752203	9.403056371549884		1.2378749790514494	2.025628915966122	14.42055493082836	11.064121234631466				Day25	Monensin Sodium
A7	14.028458091202392		0.04897879373996066	12.011627698466203	0.05968197718751761		17.044291455229104	1.388034188034188	0.5974622965271873	14.615718078323528	12.120288469393682	28.52781096698628	12.27944643018353		Day27	Monensin Sodium
